"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION_rep2.fcs";8426,83;1728,36575771377;1037,93901378255;87,7598945470486;9,14905943015598;5,59121058533813
"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION_rep3.fcs";8348,67;1724,23598747266;1051,4355339236;117,069094249007;17,8013456170086;10,9438357266331
"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE_rep1.fcs";"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE_rep1.fcs";7742,18;1821,20333533886;1069,22071651746;116,231168128194;15,6950643548036;8,87306724950252
"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE_rep2.fcs";"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE_rep2.fcs";7381,28;1688,33786923328;993,201593442873;319,670603192496;75,0185971402283;44,5087745900855
"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE_rep3.fcs";"CYCLUS1_BEKKEN_-1_A_SYBR_PRECYCLE_rep3.fcs";7710,36;1793,11197152206;1060,2567242376;119,864529592976;17,9973370888181;10,0229138107431
"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION_rep1.fcs";7799,65;1626,44995924942;968,996798526405;178,7296007997;34,1543432435254;20,784470819193
"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION_rep2.fcs";7680,04;1593,30847648126;953,902839660676;224,700785108292;43,6256943198492;25,4631900102844
"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_1_B_SYBR_OPERATION_rep3.fcs";7725,58;1602,41446766614;959,378702195016;288,996423730974;60,6679848983609;36,3987650565658
"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE_rep1.fcs";"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE_rep1.fcs";8779,62;1946,13541492208;1136,02689187012;121,16144834747;12,5245474387176;6,94497509286844
"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE_rep2.fcs";"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE_rep2.fcs";8371,56;1877,89633147524;1095,58747372617;216,02180585779;42,5563175487064;25,444643473507
"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE_rep3.fcs";"CYCLUS1_BEKKEN_-1_B_SYBR_PRECYCLE_rep3.fcs";8348,27;1887,98078044458;1099,57335536841;141,373840321584;18,2670075833164;10,2975516816428
"CYCLUS1_BEKKEN_20_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_20_A_SYBR_OPERATION_rep1.fcs";7222,17;1637,36427081668;882,831819803495;356,406647077195;80,9441384257866;43,7436706870264
"CYCLUS1_BEKKEN_20_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_20_A_SYBR_OPERATION_rep2.fcs";7659,64;1644,30175906194;890,057440711546;126,087313021773;15,8000804458766;8,43365553168829
"CYCLUS1_BEKKEN_20_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_20_A_SYBR_OPERATION_rep3.fcs";7518,11;1648,84148289335;903,420027162438;117,954613339542;18,4735199102516;10,2775086552247
"CYCLUS1_BEKKEN_20_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_20_B_SYBR_OPERATION_rep1.fcs";6316,75;1426,41496675499;794,420953198151;264,617481690386;58,1251736351476;33,3458759435054
"CYCLUS1_BEKKEN_20_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_20_B_SYBR_OPERATION_rep2.fcs";6998,37;1600,78612948188;901,049071081052;149,212251710796;26,5777172809148;15,0468597887762
"CYCLUS1_BEKKEN_20_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_20_B_SYBR_OPERATION_rep3.fcs";6716,05;1546,91495668293;865,109063917671;116,293895807219;25,1213440679728;14,8443483049362
