"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"counts";"volume";"dilution"
"62";"M45D2-1015-1_rep2.fcs";13627;3003,86399127579;37,3120168540748;1819,00173571565;31,3017176430004;14783;50,107;2
"63";"M45D2-1015-1_rep3.fcs";13331;3057,53497652275;38,0521504800744;1847,70711996427;32,1938155402741;14714;50,155;2
"64";"M45D2-115-2_rep1.fcs";14330;3349,76041594551;38,4351549825592;2096,27606105157;32,2740927439238;11618;50,125;10
"65";"M45D2-115-2_rep2.fcs";13979;3273,85237418407;38,3708770877558;2059,2853378543;32,0191910947291;11628;50,131;10
"66";"M45D2-115-2_rep3.fcs";14163;3296,86853377592;37,2660942082798;2081,89728838575;34,2004989373953;11782;50,139;10
"67";"M45D2-415-2_rep1.fcs";16158;4100,25011458971;41,2701217944852;2549,05112815518;36,9872422580214;18561;50,009;2
"68";"M45D2-415-2_rep2.fcs";16589;4150,29136087215;41,4654071027681;2573,85318183677;38,0119181928399;18216;50,079;2
"69";"M45D2-415-2_rep3.fcs";15529;3934,87689273379;42,0636167840529;2437,31238828507;38,0641212951473;18440;50,103;2
"70";"M45D2-515_rep1.fcs";14116;3381,30577554351;35,5857581925481;2136,38810950766;33,9988578449561;100871;50,087;2
"71";"M45D2-515_rep2.fcs";14230;3375,1447468062;36,2401896124088;2116,04125675913;35,4785321705866;101026;50,174;2
"72";"M45D2-515_rep3.fcs";14059;3360,2975617264;38,1227807742428;2123,15221061846;34,6002499242656;100464;50,209;2
"73";"M45D2-715-2_rep1.fcs";13677;3500,46613977082;38,1189423939702;2139,35496549239;31,5781184601517;3115;50,139;2
"74";"M45D2-715-2_rep2.fcs";13094;3289,64981952902;36,1769183560634;2069,97077369164;32,4764877618509;3101;50,135;2
"75";"M45D2-715-2_rep3.fcs";12874;3190,30996751665;37,5956811881643;1979,33307678202;31,7507802415515;3116;50,14;2
"76";"M45D2-815_rep1.fcs";12948;3069,46366590789;36,5058593731921;1933,06140973007;31,9740151742076;19757;50,083;2
"77";"M45D2-815_rep2.fcs";12419;3004,56409561451;35,846099123684;1896,17983436082;30,0635177087833;20114;50,18;2
"78";"M45D2-815_rep3.fcs";12615;3015,82420422361;33,9685630959972;1899,00312303172;30,571931163521;20222;50,098;2
"79";"M45D2-915-2_rep1.fcs";13644;3329,78759888674;38,5202400489029;2134,06091409472;31,9700873387737;31725;50,103;10
"80";"M45D2-915-2_rep2.fcs";13956;3364,83547777241;36,5049508171895;2152,32222277404;33,5958718069791;31973;50,21;10
"81";"M45D2-915-2_rep3.fcs";13778;3374,28319537588;36,3682975432079;2158,187545883;34,4937232039626;31136;50,052;10
"82";"M45S1-115-1_rep1.fcs";14290;3250,22563269209;37,0921882768343;2026,23530427098;32,5163532365037;13760;50,133;10
"83";"M45S1-115-1_rep2.fcs";14348;3357,09885364227;38,3946989672994;2082,69281723494;32,6640031154116;13600;50,132;10
"84";"M45S1-115-1_rep3.fcs";14164;3358,4516877335;37,8668591473685;2099,21201854744;32,616091601661;13419;50,009;10
"85";"M45S2-1015-2_rep1.fcs";14103;3294,32162899211;36,2177403309875;2052,93046460121;34,1190345313819;13638;50,102;2
"86";"M45S2-1015-2_rep2.fcs";14740;3434,2048090909;39,3384885269687;2148,90860071588;32,6560263634273;13820;50,117;2
"87";"M45S2-1015-2_rep3.fcs";14584;3442,17509997142;37,9233948383017;2155,98228064381;32,9440461782675;13717;50,047;2
"88";"M45S2-415-2_rep1.fcs";14511;3462,82583182235;37,870856455205;2150,29541897144;34,2890602499797;3636;50,124;2
"89";"M45S2-415-2_rep2.fcs";15116;3687,44879574905;39,2288490770727;2253,89378812233;35,6304311620397;3506;50,164;2
"90";"M45S2-415-2_rep3.fcs";14270;3518,3206737678;37,9085139263716;2188,42417361226;34,8810388192657;3871;50,176;2
"91";"M45S2-515-DMSO_rep1.fcs";11893;3003,52029065089;35,178924765254;1933,79404203668;30,9017170112027;24001;50,066;2
"92";"M45S2-515-DMSO_rep2.fcs";12564;3089,44121911218;37,2113889982723;1984,13737975362;31,4717324736164;23897;50,211;2
"93";"M45S2-515-DMSO_rep3.fcs";12693;3055,43470577864;34,8350171822283;1958,47112863688;32,2900411612878;24047;50,166;2
"94";"M45S2-715-2_rep1.fcs";14534;3313,61646565829;38,9588292175117;2072,0911839215;33,2628744002525;9727;50,155;2
"95";"M45S2-715-2_rep2.fcs";14597;3346,48011514294;37,923190678753;2083,36715188424;32,4020563073738;10474;50,126;2
"96";"M45S2-715-2_rep3.fcs";14107;3379,29443039356;37,3397186191668;2118,57973295845;34,1286328442698;10413;50,137;2
"97";"M45S2-815_rep1.fcs";13825;3395,19903380831;35,6986353829513;2133,57619475162;33,5451699095693;28908;50,031;2
"98";"M45S2-815_rep2.fcs";14416;3462,67446064175;39,061447576524;2169,77102772789;32,2440792297436;29069;50,21;2
"99";"M45S2-815_rep3.fcs";13325;3305,30243070884;36,7849339392756;2079,13052088689;34,6290238255103;28776;50,041;2
"100";"M45S2-915-2_rep1.fcs";14789;3248,51461464796;35,6318519045719;2065,01952689545;32,3531673742441;32719;50,102;10
"101";"M45S2-915-2_rep2.fcs";13929;3275,81854587;37,2395065236887;2104,82054891449;33,2416951721106;30530;50,023;10
"102";"M45S2-915-2_rep3.fcs";13951;3209,566764429;37,0363432802231;2066,8276994967;31,7521480746723;29656;50,089;10
"103";"MBRE1-714_rep1.fcs";13953;3563,12755096704;38,3920690360871;2266,35923623948;34,7076565889488;27703;50,004;10
"104";"MBRE1-714_rep2.fcs";13721;3440,70201501493;37,0619724407494;2201,0982679118;33,9397138781248;26291;50,062;10
"105";"MBRE1-714_rep3.fcs";13279;3395,9785970346;36,9582017322768;2196,33465707084;34,4787069148963;24768;50,039;10
"106";"MBRE1-715_rep1.fcs";13360;3186,99363727643;35,4980027687084;2050,55781835012;32,5176766817433;59351;50,119;10
"107";"MBRE1-715_rep2.fcs";12998;3160,31476690537;35,2325518293405;2037,43717546347;32,8809706600276;59988;50,114;10
"108";"MBRE1-715_rep3.fcs";13504;3278,78922810165;36,9594830722094;2105,42080542245;33,6756352585379;60872;50,186;10
"109";"MBRE1-914_rep1.fcs";13377;3182,73256910694;37,266384482111;2001,8730120143;32,2287929106485;35430;50,021;10
"110";"MBRE1-914_rep2.fcs";13880;3245,88073160601;38,6544211504232;2038,13641377977;32,3055588001311;35594;50,201;10
"111";"MBRE1-914_rep3.fcs";13704;3278,94330794402;37,6515808205438;2055,74528079688;33,5521599175044;34713;50,062;10
"112";"MBRE2-515_rep1.fcs";13841;3141,00852404486;37,2842798798223;1958,0280638615;31,4989318334329;8210;50,155;10
"113";"MBRE2-515_rep2.fcs";14253;3262,92658811775;37,6367467506163;2033,78116497346;31,3481775758347;10571;50,15;10
"114";"MBRE2-515_rep3.fcs";13596;3119,17271836044;36,9675128740083;1943,75856438241;31,7740541216064;10791;50,144;10
"115";"MBRE2-915_rep1.fcs";13580;3302,43001282829;36,6751029408563;2108,08038583445;34,5876993113197;27321;50,148;10
"116";"MBRE2-915_rep2.fcs";13410;3287,91955732457;36,8741943778592;2090,47125873869;33,4527150600581;27088;50,018;10
"117";"MBRE2-915_rep3.fcs";13437;3222,50074270963;35,5906669332403;2053,26482615611;32,9450290882818;25615;50,059;10
"118";"MBRH1-714_rep1.fcs";15297;3853,45700928141;40,4657939591606;2383,85893342653;33,9988093933177;24567;50,013;10
"119";"MBRH1-714_rep2.fcs";15280;3901,11112155093;40,9272890858316;2432,86150442009;34,2276820519305;24419;50,006;10
"120";"MBRH1-714_rep3.fcs";14669;3815,6063235908;39,0362286590589;2373,43584943255;32,8310649224047;24284;50,022;10
