;Samples;counts;HNA;LNA;volume;dilution
133;MDPE1-715_rep1.fcs;37595;8311;29284;50,105;10
134;MDPE1-715_rep2.fcs;38062;8788;29274;50,102;10
135;MDPE1-715_rep3.fcs;37658;8771;28887;50,08;10
136;MDPE1-914_rep1.fcs;36018;9899;26119;50,098;10
137;MDPE1-914_rep2.fcs;37392;10619;26773;50,072;10
138;MDPE1-914_rep3.fcs;37171;10424;26747;50,059;10
139;MDPE2-515_rep1.fcs;31108;11033;20075;50,053;10
140;MDPE2-515_rep2.fcs;30223;10561;19662;50,214;10
141;MDPE2-515_rep3.fcs;30379;10836;19543;50,188;10
142;MDPE2-915_rep1.fcs;27292;6588;20704;50,033;10
143;MDPE2-915_rep2.fcs;27717;6742;20975;50,012;10
144;MDPE2-915_rep3.fcs;27885;6927;20958;50,047;10
145;MDPH1-714_rep1.fcs;14033;4221;9812;50,127;10
146;MDPH1-714_rep2.fcs;13878;4121;9757;50,214;10
147;MDPH1-714_rep3.fcs;14105;4237;9868;50,098;10
148;MDPH1-715_rep1.fcs;13859;3619;10240;50,108;10
149;MDPH1-715_rep2.fcs;12953;3366;9587;50,153;10
150;MDPH1-715_rep3.fcs;13870;3744;10126;50,193;10
151;MDPH1-914_rep1.fcs;16626;5687;10939;50,048;10
152;MDPH1-914_rep2.fcs;16814;5513;11301;50,134;10
153;MDPH1-914_rep3.fcs;16894;5933;10961;50,156;10
154;MDPH2-515_rep1.fcs;15334;5195;10139;50,017;10
155;MDPH2-515_rep2.fcs;15407;5281;10126;50,223;10
156;MDPH2-515_rep3.fcs;15485;5350;10135;50,324;10
157;MDPH2-915_rep1.fcs;20713;7853;12860;50,055;10
158;MDPH2-915_rep2.fcs;20885;7990;12895;50,098;10
159;MDPH2-915_rep3.fcs;20713;8006;12707;50,107;10
160;M15S1-415-2_rep1.fcs;28635;7352;21283;50,079;2
161;M15S1-415-2_rep2.fcs;29924;7611;22313;50,203;2
162;M15S1-415-2_rep3.fcs;29755;7752;22003;50,035;2
163;M15S2-1015-2_rep1.fcs;104213;41126;63087;50,009;2
164;M15S2-1015-2_rep2.fcs;106098;42293;63805;50,193;2
165;M15S2-1015-2_rep3.fcs;100989;39243;61746;50,01;2
166;M15S2-115-2_rep1.fcs;11244;3072;8172;50,144;10
167;M15S2-115-2_rep2.fcs;11407;3065;8342;50,134;10
168;M15S2-115-2_rep3.fcs;11677;3218;8459;50,153;10
169;M15S2-515-DMSO_rep1.fcs;162849;80005;82844;50,021;2
170;M15S2-515-DMSO_rep2.fcs;158808;78389;80419;50,019;2
171;M15S2-515-DMSO_rep3.fcs;160702;80445;80257;50,071;2
172;M15S2-715-2_rep1.fcs;41265;12298;28967;50,107;2
173;M15S2-715-2_rep2.fcs;38488;11386;27102;50,025;2
174;M15S2-715-2_rep3.fcs;40756;12217;28539;50,055;2
175;M15S2-815_rep1.fcs;64594;20517;44077;50,139;2
176;M15S2-815_rep2.fcs;63590;19958;43632;50,097;2
177;M15S2-815_rep3.fcs;65587;20814;44773;50,133;2
178;M15S2-915-2_rep1.fcs;8042;1924;6118;50,132;10
179;M15S2-915-2_rep2.fcs;7480;1784;5696;50,143;10
180;M15S2-915-2_rep3.fcs;7731;1902;5829;50,14;10
181;MINE1-714_rep1.fcs;52467;18396;34071;50,006;10
182;MINE1-714_rep2.fcs;51977;18122;33855;50,115;10
183;MINE1-714_rep3.fcs;52031;18431;33600;50,053;10
184;MINE1-715_rep1.fcs;43119;14636;28483;50,208;10
185;MINE1-715_rep2.fcs;43260;14708;28552;50,023;10
186;MINE1-715_rep3.fcs;42831;14454;28377;50,079;10
187;MINE1-914_rep1.fcs;46965;16736;30229;50,012;10
188;MINE1-914_rep2.fcs;48002;17223;30779;50,032;10
189;MINE1-914_rep3.fcs;46861;16495;30366;50,085;10
190;MINE2-515_rep1.fcs;36887;15323;21564;50,047;10
191;MINE2-515_rep2.fcs;37565;15586;21979;50,113;10
192;MINE2-515_rep3.fcs;33948;11198;22750;50,027;10
193;MINE2-915_rep1.fcs;33443;11536;21907;50,041;10
194;MINE2-915_rep2.fcs;32883;11381;21502;50,097;10
195;MINE2-915_rep3.fcs;33507;11819;21688;50,041;10
196;MINH1-714_rep1.fcs;45187;16652;28535;50,164;10
197;MINH1-714_rep2.fcs;43945;16517;27428;50,05;10
198;MINH1-714_rep3.fcs;44905;16759;28146;50,198;10
199;MINH1-715_rep1.fcs;42616;14569;28047;50,149;10
200;MINH1-715_rep2.fcs;40312;13937;26375;50,064;10
201;MINH1-715_rep3.fcs;39151;13385;25766;50,108;10
202;MINH1-914_rep1.fcs;43077;14593;28484;50,002;10
203;MINH1-914_rep2.fcs;40354;13111;27243;50,069;10
204;MINH1-914_rep3.fcs;42711;14214;28497;50,018;10
205;MINH2-515_rep1.fcs;33577;12624;20953;50,067;10
206;MINH2-515_rep2.fcs;33965;12605;21360;50,066;10
207;MINH2-515_rep3.fcs;33034;12414;20620;50,087;10
208;MINH2-915_rep1.fcs;33173;11459;21714;50,011;10
209;MINH2-915_rep2.fcs;32486;11161;21325;50,017;10
210;MINH2-915_rep3.fcs;32855;11405;21450;50,001;10
211;MLB40y-S-D_July_rep1.fcs;68336;21113;47223;50,15;10
212;MLB40y-S-D_July_rep2.fcs;66587;20517;46070;50,131;10
213;MLB40y-S-D_July_rep3.fcs;65560;19784;45776;50,134;10
214;MLB-915-2_rep1.fcs;41756;10595;31161;50,135;10
215;MLB-915-2_rep2.fcs;41130;10713;30417;50,114;10
216;MLB-915-2_rep3.fcs;39979;10122;29857;50,13;10
217;MLBD2-1015-2_rep1.fcs;173117;55045;118072;50,048;2
218;MLBD2-1015-2_rep2.fcs;173394;55508;117886;50,164;2
219;MLBD2-1015-2_rep3.fcs;167401;50964;116437;50,212;2
220;MLBD2-115-2_rep1.fcs;32615;9451;23164;50,035;10
221;MLBD2-115-2_rep2.fcs;32745;9569;23176;50,013;10
222;MLBD2-115-2_rep3.fcs;31924;9350;22574;50,035;10
223;MLBD2-415-2_rep1.fcs;45206;16424;28782;50,108;2
224;MLBD2-415-2_rep2.fcs;45680;16582;29098;50,111;2
225;MLBD2-415-2_rep3.fcs;44224;16132;28092;50,121;2
226;MLBD2-515-DMSO_rep1.fcs;163085;79798;83287;50,14;2
227;MLBD2-515-DMSO_rep2.fcs;161865;80009;81856;50,21;2
228;MLBD2-515-DMSO_rep3.fcs;162015;79100;82915;50,233;2
229;MLBD2-715-2_rep1.fcs;147034;44905;102129;50,122;2
230;MLBD2-715-2_rep2.fcs;151858;47083;104775;50;2
231;MLBD2-715-2_rep3.fcs;148267;44772;103495;50,022;2
232;MLBD2-815_rep1.fcs;153515;38417;115098;50,065;2
233;MLBD2-815_rep2.fcs;151144;37665;113479;50,101;2
234;MLBD2-815_rep3.fcs;151178;37615;113563;50,152;2
235;MLB-D-D_July_rep1.fcs;38508;9771;28737;50,023;10
236;MLB-D-D_July_rep2.fcs;37850;9543;28307;50,063;10
237;MLB-D-D_July_rep3.fcs;37405;9128;28277;50,019;10
238;MLB-D-N_September_rep1.fcs;21547;6528;15019;50,046;10
239;MLB-D-N_September_rep2.fcs;20891;6072;14819;50,043;10
240;MLB-D-N_September_rep3.fcs;21112;6159;14953;50,026;10
241;MLBS1-415-2_rep1.fcs;98609;45207;53402;50,104;2
242;MLBS1-415-2_rep2.fcs;102321;49388;52933;50,111;2
243;MLBS1-415-2_rep3.fcs;102090;49187;52903;50,16;2
244;MLBS2-1015-2_rep1.fcs;199113;65472;133641;50,177;2
245;MLBS2-1015-2_rep2.fcs;195000;63667;131333;50,003;2
246;MLBS2-1015-2_rep3.fcs;191677;61849;129828;50,1;2
247;MLBS2-115-2_rep1.fcs;32200;9303;22897;50,018;10
248;MLBS2-115-2_rep2.fcs;31639;9108;22531;50,038;10
249;MLBS2-115-2_rep3.fcs;32064;9063;23001;50,039;10
250;MLBS2-515-DMSO_rep1.fcs;31731;8317;23414;50,018;2
251;MLBS2-515-DMSO_rep2.fcs;30316;8100;22216;50,063;2
252;MLBS2-515-DMSO_rep3.fcs;29285;7718;21567;50,052;2
253;MLBS2-715-2_rep1.fcs;254455;86994;167461;50,214;2
254;MLBS2-715-2_rep2.fcs;257649;88188;169461;50,004;2
255;MLBS2-715-2_rep3.fcs;249739;83669;166070;50,015;2
256;MLBS2-815_rep1.fcs;38201;10093;28108;50,025;10
257;MLBS2-815_rep2.fcs;36490;9515;26975;50,029;10
258;MLBS2-815_rep3.fcs;38304;10301;28003;50,008;10
259;MLBS2-915-2_rep1.fcs;48061;14148;33913;50,113;10
260;MLBS2-915-2_rep2.fcs;48404;14067;34337;50,127;10
261;MLBS2-915-2_rep3.fcs;45350;12796;32554;50,138;10
262;MLB-S-N_September_rep1.fcs;22629;6710;15919;50,086;10
263;MLB-S-N_September_rep2.fcs;22243;6670;15573;50,007;10
264;MLB-S-N_September_rep3.fcs;22016;6794;15222;50,048;10
265;MM110-DCMD_July_rep1.fcs;9799;3890;5909;50,116;10
266;MM110-DCMD_July_rep2.fcs;9356;3633;5723;50,135;10
267;MM110-DCMD_July_rep3.fcs;9342;3644;5698;50,087;10
268;MM110-D-N_July_rep1.fcs;2336;642;1694;50,007;10
269;MM110-D-N_July_rep2.fcs;2377;678;1699;50,172;10
270;MM110-D-N_July_rep3.fcs;2366;652;1714;50,205;10
271;MM110-D-N_September_rep1.fcs;2717;844;1873;50,146;10
272;MM110-D-N_September_rep2.fcs;2956;943;2013;50,109;10
273;MM110-D-N_September_rep3.fcs;2883;950;1933;50,12;10
274;MM110-S-D_April_rep1.fcs;6960;1883;5077;50,18;10
275;MM110-S-D_April_rep2.fcs;4956;1350;3606;50,166;10
276;MM110-S-D_April_rep3.fcs;6640;1772;4868;50,08;10
277;MM110-S-D_July_rep1.fcs;6613;993;5620;50,121;10
278;MM110-S-D_July_rep2.fcs;8606;1345;7261;50,201;10
279;MM110-S-D_July_rep3.fcs;8446;1248;7198;50,093;10
280;MM110-S-D_September_rep1.fcs;11559;3129;8430;50,191;10
281;MM110-S-D_September_rep2.fcs;11115;3070;8045;50,145;10
282;MM110-S-D_September_rep3.fcs;11463;3068;8395;50,2;10
283;MM110-S-N_April_rep1.fcs;9182;2176;7006;50,176;10
