";""D0"";""sd.D0"";""D0.bre"";""sd.D0.bre"";""D0.chao"";""sd.D0.chao"";""D1"";""sd.D1"";""D2"";""sd.D2""",,,,,,,,
44;268,15;5,36613963156519;NA;NA;431,263157894737;33,4802690434363;25,5981749276785;0,517944502118068;11,1720817953441;0,1.72E+14
45;217,33;5,29351614064916;NA;NA;358,283783783784;29,4287278304106;15,3519277937891;0,294124757082321;5,97135010094801;0,9.65E+14
46;212,22;4,47795949201433;NA;NA;362,308823529412;32,3318680386884;12,4257546477004;0,280742780725732;4,39191045163965;0,9.06E+14
47;280,15;6,25126249875038;NA;NA;555,471153846154;48,0954254522599;15,9082381484045;0,339475771650153;5,26859996300926;0,9.90E+14
48;178,58;5,22847680466976;NA;NA;432,065217391304;63,4117668087206;11,1208582862309;0,198668999325169;5,79226325891068;0,8.65E+14
49;100,57;3,88536492572585;NA;NA;205,333333333333;33,1941538806437;4,2698020912747;0,0703407719836831;2,27124368766453;0,2.69E+14
51;108,12;3,72889346383702;NA;NA;207,625;27,8840372121757;4,4123203610761;0,0828922998324682;2,62659053615238;0,3.18E+14
54;114,77;4,0597929986539;NA;NA;213,840909090909;26,538859579985;6,00562769000024;0,0855901606953842;3,93661914672491;0,3.72E+13
55;88,53;3,54325365513767;NA;NA;136,111111111111;14,5156601494648;5,15808538872534;0,0723848020983254;3,30872869245106;0,3.54E+14
56;102,54;3,49724278120737;NA;NA;167,875;16,080728955803;5,59937555285284;0,0779129413283189;3,72274585671089;0,3.01E+14
59;159,26;4,4893139112719;NA;NA;325,228571428571;35,4894848304071;6,63688961176418;0,103756245061853;3,71257248727931;0,4.24E+14
6;95,41;3,33362119969116;NA;NA;138,785714285714;10,9326139648739;5,58217873107829;0,0819173389813792;3,45580659170446;0,4.50E+14
60;119,17;4,02280117491895;NA;NA;191,117647058824;16,1427582022827;3,38371191452728;0,0676709690612007;1,75288589746963;0,2.11E+14
61;66,91;3,32755559872803;NA;NA;115,133333333333;16,0449738293705;2,3201862699817;0,038193052978938;1,43256006062022;0,1.22E+12
62;90,03;3,83090832386506;NA;NA;142,666666666667;13,1840407326871;2,61901885513538;0,0446278485327341;1,51999358413567;0,1.38E+12
63;67,38;2,78806982217686;NA;NA;97,7894736842105;9,11770402060613;1,86540609714327;0,0290566705389483;1,26154971543051;0,8.56E+14
64;77,95;4,25541841169419;NA;NA;214,133333333333;42,6328129583393;1,60789186889482;0,0245602976911473;1,16019787020145;0,6.43E+14
66;64,72;2,8641990789113;NA;NA;144,8;30,8425679864696;1,64857283240539;0,0219163174384356;1,17635105306506;0,5.85E+14
