"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2";"counts";"volume";"dilution"
"73";"M45D2-715-2_rep1.fcs";13537,03;3259,18168141166;2022,86272206988;174,674962502508;23,8552658066117;13,7127288604096;16669;50,035;2
"74";"M45D2-715-2_rep2.fcs";13857;3255,62726453276;2018,7111466292;181,081319976536;20,8389673912967;12,2526991621524;16798;50,015;2
"75";"M45D2-715-2_rep3.fcs";13446,03;3264,13841738328;2022,94578687715;220,500553378907;27,4539994542032;16,682436231381;15849;50,038;2
"76";"M45D2-815_rep1.fcs";13782,12;3335,46620066888;2127,29003123231;175,398552220969;32,2311544576349;20,106875876613;19467;50,215;2
"77";"M45D2-815_rep2.fcs";13934,07;3346,95865880368;2130,3795430147;183,63117706947;26,3159975192298;18,5404430118495;19122;50,022;2
"78";"M45D2-815_rep3.fcs";13573,17;3353,74507407612;2144,6103621809;186,6982686994;21,9996242219351;13,4896919744231;19570;50,027;2
"79";"M45D2-915-2_rep1.fcs";12224,2;3178,87190621237;2018,8161019552;301,718445246591;55,5958625268291;33,882068011527;5662;50,148;10
"80";"M45D2-915-2_rep2.fcs";13049,08;3289,03117342465;2089,201714849;258,56947877415;37,8960848433425;21,6709479564521;5742;50,13;10
"81";"M45D2-915-2_rep3.fcs";12583,26;3281,57771797151;2093,84354352495;243,532779201188;41,3985341613588;25,9962770444423;5760;50,112;10
"82";"M45S1-115-1_rep1.fcs";14432,66;3416,18970878393;2147,92927369181;277,361603308567;37,0301941632552;21,9118840189204;11700;50,134;10
"83";"M45S1-115-1_rep2.fcs";14311,57;3397,74736214268;2128,70801306913;213,725787452573;32,6619378613377;21,1273821297404;11497;50,15;10
"84";"M45S1-115-1_rep3.fcs";13299,93;3228,28922693597;2034,14884296825;583,202743044775;136,21319301271;83,1415916820942;11520;50,14;10
"85";"M45S2-1015-2_rep1.fcs";13188,92;3197,31455369454;2012,00095136699;378,185131298619;86,0654477722859;52,415162319985;56076;50,17;2
"86";"M45S2-1015-2_rep2.fcs";13684,53;3272,66961674561;2053,73973479877;251,077172529994;46,265061269966;28,1668937710814;57137;50,148;2
"87";"M45S2-1015-2_rep3.fcs";13985,01;3320,66338844362;2082,76888150088;176,123722296446;20,0587908846352;12,2722766098895;57373;50,153;2
"88";"M45S2-415-2_rep1.fcs";13238,09;3234,50383331454;2082,62930480064;165,756794884871;15,5851641556168;11,0674393097248;30708;50,026;2
"89";"M45S2-415-2_rep2.fcs";13934,69;3282,90159079259;2104,01553506904;179,141143777579;17,9762020273081;10,9801856415967;31045;50,116;2
"90";"M45S2-415-2_rep3.fcs";13354,96;3218,5109176877;2066,10709776462;169,649902130621;29,6281503536281;20,3837811909082;30860;50,139;2
"91";"M45S2-515-DMSO_rep1.fcs";16111,61;3762,99290256942;2194,70786609077;166,63095950833;34,7127774365968;19,5903435817133;54339;50,18;2
"92";"M45S2-515-DMSO_rep2.fcs";16412,32;3878,45600962655;2249,86030530764;159,76433907604;23,5491559767612;12,8834110993708;54621;50,17;2
"93";"M45S2-515-DMSO_rep3.fcs";16236,94;3844,62175025951;2233,83692752301;160,353701219989;27,6442556539239;14,8900515079871;54253;50,117;2
"94";"M45S2-715-2_rep1.fcs";13617,24;3320,44426114468;2080,89716621915;193,201424174436;28,4435960218396;18,7275662694315;27118;50,012;2
"95";"M45S2-715-2_rep2.fcs";13634,62;3355,03200040372;2104,53653930366;181,615243208428;19,6272572364837;12,3484956713849;26001;50,034;2
"96";"M45S2-715-2_rep3.fcs";13409,01;3315,49488018755;2069,45515578111;251,301802338515;51,7570168092391;31,4857822975873;27964;50,123;2
"97";"M45S2-815_rep1.fcs";13511,15;3293,32456082939;2079,9874964964;184,361106735579;28,3330015077849;17,6817768659466;45112;50,17;2
"98";"M45S2-815_rep2.fcs";13817,14;3375,40178799497;2132,90652472458;155,766207873054;17,9487001520584;11,6956751186459;47633;50,121;2
"99";"M45S2-815_rep3.fcs";14015,36;3365,58769062156;2120,08918394116;163,809110389089;31,2689790641304;18,7557381834827;50653;50,143;2
"100";"M45S2-915-2_rep1.fcs";13434,31;3380,41361659787;2061,90443844568;261,461768648203;54,8515452329395;34,9925590018243;6465;50,116;10
"101";"M45S2-915-2_rep2.fcs";13240,74;3336,55283907696;2042,8716217479;220,865269045876;43,1456614855641;25,8428746686294;6243;50,169;10
"102";"M45S2-915-2_rep3.fcs";13226,47;3230,16933009164;1993,04826791038;263,485435742632;41,6470208580647;26,1978150342118;6157;50,137;10
"103";"MBRE1-714_rep1.fcs";15191,46;3379,27427862378;2073,82560531165;156,106957635533;18,1613298315068;11,1316862248713;50843;50,172;10
"104";"MBRE1-714_rep2.fcs";14823,91;3344,8876953951;2066,87955919768;237,671536989496;46,1643951812169;28,7380889501739;50847;50,155;10
"105";"MBRE1-714_rep3.fcs";15026,31;3385,32146532606;2082,13214567197;200,386076604563;35,1260064231043;22,1228132857711;50344;50,141;10
"106";"MBRE1-715_rep1.fcs";14167,18;3108,94788684083;1911,61806054675;197,740232618351;43,0778756597478;27,560434475328;37360;50,05;10
"107";"MBRE1-715_rep2.fcs";14182,8;3121,38717180814;1926,41407327793;338,395590629629;67,9510891430467;40,6337467987696;37326;50,045;10
"108";"MBRE1-715_rep3.fcs";14337,96;3153,65063680875;1942,64618810053;204,532229067384;25,7252565908564;15,3369688997218;36738;50,054;10
"109";"MBRE1-914_rep1.fcs";15141,15;3307,05676079407;2061,56592620458;232,027748906518;28,2970956609773;17,293747427425;36144;50,023;10
"110";"MBRE1-914_rep2.fcs";14928,61;3239,17738533874;2021,81274151022;280,564362518035;45,2280128686975;27,6111137437096;35681;50,016;10
"111";"MBRE1-914_rep3.fcs";14453,08;3274,48044261717;2044,90334099256;300,932680817219;52,233406422456;30,3934589706831;36354;50,074;10
"112";"MBRE2-515_rep1.fcs";14599,32;3261,33625557381;2054,23487823408;397,181735366936;77,9959200251597;49,5523840266869;21193;50,052;10
"113";"MBRE2-515_rep2.fcs";15373,49;3303,58795910816;2062,33991950748;265,972714291287;42,5245284024624;25,4640438581878;21693;50,21;10
"114";"MBRE2-515_rep3.fcs";15450,99;3306,83656812422;2066,39841990045;222,246268673726;31,3268222823213;19,8585166500933;22151;50,045;10
"115";"MBRE2-915_rep1.fcs";15252,47;3271,43510095551;2006,7531368661;239,253361121805;37,3249520873676;22,6956829338906;24590;50,002;10
"116";"MBRE2-915_rep2.fcs";15224,69;3245,05533225855;1979,37374101539;290,302548380064;49,3881324829006;27,5641328948226;24457;50,198;10
"117";"MBRE2-915_rep3.fcs";15045,62;3268,24712645871;1997,10890726848;323,610870576925;54,3176605172989;31,3684228570838;24543;50,131;10
"118";"MBRH1-714_rep1.fcs";17296,11;3868,76964070194;2277,66538762464;332,711750603881;69,1697335718714;37,7718341703873;13367;50,179;10
"119";"MBRH1-714_rep2.fcs";17680,81;3871,78872210996;2276,35016831578;289,278995560907;58,5051677301995;31,6766386658804;13640;50,105;10
"120";"MBRH1-714_rep3.fcs";16600,97;3693,56236877346;2151,6097114506;615,615032124604;123,49499980975;68,495118190428;13371;50,119;10
"121";"MBRH1-914_rep1.fcs";18177,14;3965,76544342591;2288,51601732958;214,831435917991;42,3317341343435;25,4902331247484;17303;50,097;10
"122";"MBRH1-914_rep2.fcs";17929,86;3931,71892101516;2241,1992734077;271,928355834898;56,8649609147494;30,8552893515234;17443;50,014;10
"123";"MBRH1-914_rep3.fcs";18017,65;3909,61538168685;2247,70237088086;239,99054589965;43,7144965604297;24,192462400963;17432;50,034;10
"124";"MBRH2-515_rep1.fcs";14295,27;3091,73625651191;1970,20773572629;286,480448854294;46,6725820979747;29,8333209481811;23903;50,078;10
"125";"MBRH2-515_rep2.fcs";14431,82;3088,10270842843;1971,28760918472;327,132703434807;58,3492492293135;35,3089028996866;24747;50,112;10
"126";"MBRH2-515_rep3.fcs";13939,64;3044,37424932375;1936,90202383908;212,480184221656;26,800169211728;15,1711216902644;23967;50,049;10
"127";"MBRH2-915_rep1.fcs";18542,64;3878,72380479274;2232,74482653711;181,079173486923;32,638368496446;18,1193189634791;14813;50,165;10
"128";"MBRH2-915_rep2.fcs";17096,6;3714,35276490307;2174,25257405855;231,165557883339;43,4486255775771;23,0557688486027;13944;50,131;10
"129";"MBRH2-915_rep3.fcs";16971,43;3611,81738134141;2118,05633167379;253,554459115539;45,7203334823768;25,9542564688246;13741;50,001;10
"130";"MDPE1-714_rep1.fcs";15516,35;3629,96691001664;2233,41075943735;301,557451349899;55,5370543915611;32,1306533617143;47454;50,17;10
"131";"MDPE1-714_rep2.fcs";15503,57;3565,71986687239;2182,38383215278;181,829715821027;32,2144230810662;19,1052944613172;47483;50,627;10
"132";"MDPE1-714_rep3.fcs";15941,89;3673,75697121161;2264,40320457035;181,581041539211;26,0488766710368;15,7224051166686;46401;50,113;10
"133";"MDPE1-715_rep1.fcs";14247,86;3104,61026971759;1923,00881210744;199,344228951233;24,1270003466923;15,9095397534195;37595;50,105;10
"134";"MDPE1-715_rep2.fcs";13683,02;2962,79714831572;1834,10002561809;241,122123381158;35,9957560932746;20,6141506323;38062;50,102;10
"135";"MDPE1-715_rep3.fcs";14226,98;3057,41441603028;1893,96530606105;225,272494028136;33,1918672871171;19,4269426717714;37658;50,08;10
"136";"MDPE1-914_rep1.fcs";15133,84;3364,82675630439;2095,20373618369;163,760833244859;22,061416084438;13,818534820733;36018;50,098;10
