;Sample_names;D0;D1;D2;sd.D0;sd.D1;sd.D2;counts;volume;dilution;HNA_counts
123;MBRH1-914_rep3.fcs;18017,65;3909,615382;2247,702371;239,9905459;43,71449656;24,1924624;17432;50,034;10;4961
124;MBRH2-515_rep1.fcs;14295,27;3091,736257;1970,207736;286,4804489;46,6725821;29,83332095;23903;50,078;10;6569
125;MBRH2-515_rep2.fcs;14431,82;3088,102708;1971,287609;327,1327034;58,34924923;35,3089029;24747;50,112;10;6583
126;MBRH2-515_rep3.fcs;13939,64;3044,374249;1936,902024;212,4801842;26,80016921;15,17112169;23967;50,049;10;6289
127;MBRH2-915_rep1.fcs;18542,64;3878,723805;2232,744827;181,0791735;32,6383685;18,11931896;14813;50,165;10;4513
128;MBRH2-915_rep2.fcs;17096,6;3714,352765;2174,252574;231,1655579;43,44862558;23,05576885;13944;50,131;10;4171
129;MBRH2-915_rep3.fcs;16971,43;3611,817381;2118,056332;253,5544591;45,72033348;25,95425647;13741;50,001;10;4054
130;MDPE1-714_rep1.fcs;15516,35;3629,96691;2233,410759;301,5574513;55,53705439;32,13065336;47454;50,17;10;15331
131;MDPE1-714_rep2.fcs;15503,57;3565,719867;2182,383832;181,8297158;32,21442308;19,10529446;47483;50,627;10;15191
132;MDPE1-714_rep3.fcs;15941,89;3673,756971;2264,403205;181,5810415;26,04887667;15,72240512;46401;50,113;10;14869
133;MDPE1-715_rep1.fcs;14247,86;3104,61027;1923,008812;199,344229;24,12700035;15,90953975;37595;50,105;10;8311
134;MDPE1-715_rep2.fcs;13683,02;2962,797148;1834,100026;241,1221234;35,99575609;20,61415063;38062;50,102;10;8788
135;MDPE1-715_rep3.fcs;14226,98;3057,414416;1893,965306;225,272494;33,19186729;19,42694267;37658;50,08;10;8771
136;MDPE1-914_rep1.fcs;15133,84;3364,826756;2095,203736;163,7608332;22,06141608;13,81853482;36018;50,098;10;9899
137;MDPE1-914_rep2.fcs;14284,71;3173,263964;1984,231368;406,8216867;75,61339913;45,16816999;37392;50,072;10;10619
138;MDPE1-914_rep3.fcs;15040,29;3423,144962;2147,234379;177,370029;23,11981915;14,50828432;37171;50,059;10;10424
139;MDPE2-515_rep1.fcs;13895,13;3138,882281;2006,553378;323,6881107;59,95908605;36,11161567;31108;50,053;10;11033
140;MDPE2-515_rep2.fcs;14438,38;3187,582847;2039,488863;229,2118591;33,2304807;20,1388957;30223;50,214;10;10561
141;MDPE2-515_rep3.fcs;15219,16;3314,098879;2106,707265;232,7139276;19,42468731;10,98589128;30379;50,188;10;10836
142;MDPE2-915_rep1.fcs;14597,35;3153,053604;1922,549667;213,0313855;27,06214696;14,964016;27292;50,033;10;6588
143;MDPE2-915_rep2.fcs;14721,97;3236,005492;1987,877741;227,4597291;31,69914701;18,60908394;27717;50,012;10;6742
144;MDPE2-915_rep3.fcs;15120,99;3284,236176;2009,683949;211,8666674;24,5154992;15,14901933;27885;50,047;10;6927
145;MDPH1-714_rep1.fcs;17013,75;3852,841162;2286,763399;174,2305668;40,73356597;23,15402027;14033;50,127;10;4221
146;MDPH1-714_rep2.fcs;16157,39;3691,625058;2192,83111;351,0471462;73,78659934;42,41691816;13878;50,214;10;4121
147;MDPH1-714_rep3.fcs;16649,19;3784,430419;2241,01367;228,581515;40,57045723;23,51215221;14105;50,098;10;4237
148;MDPH1-715_rep1.fcs;15733,47;3494,81444;2084,9484;423,6500713;77,76834677;44,27864399;13859;50,108;10;3619
149;MDPH1-715_rep2.fcs;15567,94;3488,672452;2097,631958;264,2176108;50,82108835;29,38507559;12953;50,153;10;3366
150;MDPH1-715_rep3.fcs;15706,13;3504,271344;2099,810778;270,5411209;53,36877034;30,77207749;13870;50,193;10;3744
151;MDPH1-914_rep1.fcs;18253,78;4315,607813;2550,809074;212,3801423;45,09094944;25,91697545;16626;50,048;10;5687
152;MDPH1-914_rep2.fcs;17756,63;4181,58185;2473,312545;792,1914708;172,9203795;93,73739155;16814;50,134;10;5513
153;MDPH1-914_rep3.fcs;18303,66;4303,162674;2529,636817;197,6214226;44,45110979;27,35912823;16894;50,156;10;5933
154;MDPH2-515_rep1.fcs;15096,32;3571,941982;2217,259906;259,9360792;53,34307092;33,56715952;15334;50,017;10;5195
155;MDPH2-515_rep2.fcs;15485,51;3716,598859;2312,33964;201,1003817;28,66174528;17,51288339;15407;50,223;10;5281
156;MDPH2-515_rep3.fcs;14934,43;3560,04747;2236,702371;362,1663286;77,27106282;45,11723185;15485;50,324;10;5350
157;MDPH2-915_rep1.fcs;17162,75;3882,795212;2356,465986;747,5568202;153,608134;84,74537677;20713;50,055;10;7853
158;MDPH2-915_rep2.fcs;16968,59;3837,729784;2328,028748;581,7721463;115,5474901;63,51585415;20885;50,098;10;7990
159;MDPH2-915_rep3.fcs;17871,57;4090,515536;2489,82487;216,0189037;35,24052548;20,7532133;20713;50,107;10;8006
160;M15S1-415-2_rep1.fcs;12831,59;3214,525818;2089,267709;149,6345106;16,96160205;11,55132287;28635;50,079;2;7352
161;M15S1-415-2_rep2.fcs;13115,21;3202,457579;2070,78127;185,4413406;36,93183687;22,64099629;29924;50,203;2;7611
162;M15S1-415-2_rep3.fcs;13009,79;3206,007035;2080,755467;169,1259942;20,73036358;13,35263941;29755;50,035;2;7752
163;M15S2-1015-2_rep1.fcs;13422,38;3290,959824;2103,545183;226,4206231;47,80107999;27,88633013;104213;50,009;2;41126
164;M15S2-1015-2_rep2.fcs;13452,87;3275,812704;2089,557679;386,0365465;81,37222724;49,60815144;106098;50,193;2;42293
165;M15S2-1015-2_rep3.fcs;13704,05;3380,365592;2162,167126;114,5283146;20,5459138;12,83183545;100989;50,01;2;39243
166;M15S2-115-2_rep1.fcs;13848,36;3467,74808;2217,385488;225,0677797;29,99434103;17,46384184;11244;50,144;10;3072
167;M15S2-115-2_rep2.fcs;13965,37;3419,654496;2162,723837;201,6123721;28,65733661;19,12923018;11407;50,134;10;3065
168;M15S2-115-2_rep3.fcs;13136,76;3355,18192;2137,416435;199,5473727;27,87758301;18,37754372;11677;50,153;10;3218
169;M15S2-515-DMSO_rep1.fcs;13762,27;2919,207274;1811,766962;153,7603313;29,63630957;17,50159124;162849;50,021;2;80005
170;M15S2-515-DMSO_rep2.fcs;13770,77;2929,736789;1815,732267;120,3849763;16,10765848;9,358980358;158808;50,019;2;78389
171;M15S2-515-DMSO_rep3.fcs;13881,93;2943,617542;1821,572266;96,81266457;16,67105651;10,23262018;160702;50,071;2;80445
172;M15S2-715-2_rep1.fcs;13135,56;3236,898564;2085,245679;182,8306784;28,59634048;19,00366237;41265;50,107;2;12298
173;M15S2-715-2_rep2.fcs;13470,37;3271,882012;2107,384592;164,7818058;22,16651256;14,88732675;38488;50,025;2;11386
174;M15S2-715-2_rep3.fcs;13597,59;3353,159617;2166,272036;140,0593738;15,90142624;9,901342986;40756;50,055;2;12217
175;M15S2-815_rep1.fcs;13752,03;3313,001943;2123,193963;260,9109703;52,56208591;32,03007723;64594;50,139;2;20517
176;M15S2-815_rep2.fcs;13997,57;3387,212132;2167,543065;138,1117433;22,33442771;15,04999728;63590;50,097;2;19958
177;M15S2-815_rep3.fcs;13974,58;3417,56183;2187,613564;122,7884919;12,34960079;7,990629132;65587;50,133;2;20814
178;M15S2-915-2_rep1.fcs;13192,86;3299,778917;2065,364;491,7997256;115,7064151;70,19773077;8042;50,132;10;1924
179;M15S2-915-2_rep2.fcs;12429,84;3147,935014;1968,146997;395,1054001;101,7592175;62,24854746;7480;50,143;10;1784
180;M15S2-915-2_rep3.fcs;13354,17;3342,618499;2091,460134;208,4237164;36,07079124;22,82105662;7731;50,14;10;1902
181;MINE1-714_rep1.fcs;14898,53;3305,402153;2066,668297;346,4251914;60,83832086;35,60908361;52467;50,006;10;18396
182;MINE1-714_rep2.fcs;15123,64;3381,028364;2115,334639;185,2909544;35,8072424;23,25456148;51977;50,115;10;18122
183;MINE1-714_rep3.fcs;14922,63;3306,244225;2062,463037;242,174937;45,3289414;27,22058974;52031;50,053;10;18431
184;MINE1-715_rep1.fcs;15299,49;3150,133617;1964,941745;185,9426161;26,77354706;15,76108469;43119;50,208;10;14636
185;MINE1-715_rep2.fcs;15547,89;3225,40176;2021,043132;399,2134159;71,08713059;40,91352713;43260;50,023;10;14708
186;MINE1-715_rep3.fcs;15318,84;3170,123628;1980,204984;177,5195946;23,30074548;13,27043197;42831;50,079;10;14454
187;MINE1-914_rep1.fcs;15226,04;3405,968342;2148,378308;296,3823602;51,37906493;31,76933836;46965;50,012;10;16736
188;MINE1-914_rep2.fcs;15716,14;3475,639633;2186,011061;183,9435585;23,95991092;13,04641369;48002;50,032;10;17223
189;MINE1-914_rep3.fcs;15460,48;3383,655065;2120,910387;254,1922632;44,16405296;27,19092599;46861;50,085;10;16495
190;MINE2-515_rep1.fcs;14195,2;3321,844278;2093,518197;168,9480824;32,04018895;20,05749974;36887;50,047;10;15323
191;MINE2-515_rep2.fcs;14974,45;3438,440754;2164,380917;177,5045525;21,14588345;11,64689055;37565;50,113;10;15586
192;MINE2-515_rep3.fcs;14412,99;3236,10106;2045,848928;197,9271111;30,21273463;17,99655166;33948;50,027;10;11198
193;MINE2-915_rep1.fcs;15865,92;3568,745982;2206,507899;242,907418;45,83844676;27,12086046;33443;50,041;10;11536
194;MINE2-915_rep2.fcs;15884,69;3561,418509;2206,007027;216,595312;37,46278334;23,34532592;32883;50,097;10;11381
195;MINE2-915_rep3.fcs;15926,27;3547,832139;2200,13446;212,6119363;31,29534969;18,41348331;33507;50,041;10;11819
196;MINH1-714_rep1.fcs;14238,54;3051,919212;1908,401729;172,4463565;27,61711475;16,12398168;45187;50,164;10;16652
197;MINH1-714_rep2.fcs;15064,92;3314,67824;2082,569591;228,2804265;35,84865617;21,99815981;43945;50,05;10;16517
198;MINH1-714_rep3.fcs;14750,87;3239,361373;2037,973259;258,8852815;51,49908821;30,85547286;44905;50,198;10;16759
199;MINH1-715_rep1.fcs;15318,38;3425,272472;2128,633516;202,6957106;31,73352831;20,04612535;42616;50,149;10;14569
200;MINH1-715_rep2.fcs;15135,43;3396,155843;2126,599389;147,4519785;20,15840552;12,11345224;40312;50,064;10;13937
201;MINH1-715_rep3.fcs;14794,42;3359,332946;2107,719202;209,9652294;39,91547288;22,71368552;39151;50,108;10;13385
202;MINH1-914_rep1.fcs;16502,07;3434,48917;2145,439378;176,8783326;21,65062976;12,84674345;43077;50,002;10;14593
203;MINH1-914_rep2.fcs;15926,63;3342,86775;2096,786312;151,0727068;26,21656284;16,78944043;40354;50,069;10;13111
204;MINH1-914_rep3.fcs;16494,09;3424,994856;2132,669236;185,2268658;23,93748389;12,59844317;42711;50,018;10;14214
205;MINH2-515_rep1.fcs;14287;3295,700556;2089,621862;227,0776132;37,39796067;22,56609373;33577;50,067;10;12624
206;MINH2-515_rep2.fcs;14702,78;3387,747672;2143,1654;183,4379635;22,09359485;12,30089897;33965;50,066;10;12605
207;MINH2-515_rep3.fcs;15282,7;3472,872104;2192,731852;174,4839722;18,90221172;10,88914767;33034;50,087;10;12414
208;MINH2-915_rep1.fcs;15487;3180,073947;1990,287697;173,9404867;19,57450383;10,48025304;33173;50,011;10;11459
209;MINH2-915_rep2.fcs;16113,96;3226,949949;2001,927864;201,4867928;27,67256729;16,22809972;32486;50,017;10;11161
210;MINH2-915_rep3.fcs;15741,3;3212,273855;2000,962489;176,4471764;27,95183698;15,74376133;32855;50,001;10;11405
211;MLB40y-S-D_July_rep1.fcs;14016,5;3275,335108;2072,083819;166,0341026;23,49606549;13,55956725;68336;50,15;10;21113
212;MLB40y-S-D_July_rep2.fcs;14116,39;3321,862262;2095,568671;189,1616216;27,77706164;17,27744927;66587;50,131;10;20517
213;MLB40y-S-D_July_rep3.fcs;14164,76;3330,225987;2099,030037;143,554102;20,09059304;13,4714113;65560;50,134;10;19784
